sample,time_s,rpm,crank_phase_deg,cylinder,bank
24300,0.551020408,5176.137,648.101990,9,B
24403,0.553356009,5177.591,0.648592,0,A
24505,0.555668934,5179.038,72.511009,5,B
24607,0.557981859,5180.489,144.393524,1,A
24709,0.560294785,5181.946,216.296234,6,B
24811,0.562607710,5183.409,288.219177,2,A
24913,0.564920635,5184.876,360.162476,7,B
25015,0.567233560,5186.350,432.126190,3,A
25117,0.569546485,5187.829,504.110382,8,B
25219,0.571859410,5189.314,576.115173,4,A
25321,0.574172336,5190.804,648.140564,9,B
25423,0.576485261,5192.299,0.186673,0,A
25525,0.578798186,5193.800,72.253586,5,B
25627,0.581111111,5195.307,144.341354,1,A
25729,0.583424036,5196.819,216.450089,6,B
25831,0.585736961,5198.336,288.579834,2,A
25932,0.588027211,5199.844,360.023193,7,B
26034,0.590340136,5201.372,432.195007,3,A
26136,0.592653061,5202.906,504.388031,8,B
26238,0.594965986,5204.445,576.602417,4,A
26339,0.597256236,5205.974,648.129883,9,B
26441,0.599569161,5207.524,0.386903,0,A
26543,0.601882086,5209.080,72.665474,5,B
26644,0.604172336,5210.625,144.256744,1,A
26746,0.606485261,5212.191,216.578415,6,B
26847,0.608775510,5213.747,288.212524,2,A
26949,0.611088435,5215.324,360.577606,7,B
27050,0.613378685,5216.891,432.254822,3,A
27152,0.615691610,5218.479,504.663605,8,B
27253,0.617981859,5220.056,576.384277,4,A
27354,0.620272109,5221.639,648.126587,9,B
27456,0.622585034,5223.242,0.601398,0,A
27557,0.624875283,5224.835,72.387611,5,B
27658,0.627165533,5226.434,144.195755,1,A
27759,0.629455782,5228.038,216.025909,6,B
27861,0.631768707,5229.663,288.589661,2,A
27962,0.634058957,5231.278,360.464264,7,B
28063,0.636349206,5232.897,432.361084,3,A
28164,0.638639456,5234.522,504.280182,8,B
28265,0.640929705,5236.152,576.221680,4,A
28366,0.643219955,5237.788,648.185547,9,B
28467,0.645510204,5239.429,0.171997,0,A
28568,0.647800454,5241.075,72.181007,5,B
28669,0.650090703,5242.726,144.212662,1,A
28770,0.652380952,5244.382,216.267059,6,B
28871,0.654671202,5246.044,288.344238,2,A
28972,0.656961451,5247.711,360.444305,7,B
29073,0.659251701,5249.383,432.567291,3,A
29174,0.661541950,5251.060,504.713287,8,B
29274,0.663809524,5252.726,576.167725,4,A
29375,0.666099773,5254.414,648.359741,9,B
29476,0.668390023,5256.106,0.574994,0,A
29576,0.670657596,5257.788,72.098190,5,B
29677,0.672947846,5259.491,144.359879,1,A
29778,0.675238095,5261.199,216.645004,6,B
29878,0.677505669,5262.896,288.237579,2,A
29979,0.679795918,5264.614,360.569580,7,B
30079,0.682063492,5266.321,432.208710,3,A
30180,0.684353741,5268.050,504.587830,8,B
30280,0.686621315,5269.767,576.273743,4,A
30381,0.688911565,5271.506,648.700317,9,B
30481,0.691179138,5273.233,0.433355,0,A
30581,0.693446712,5274.966,72.189926,5,B
30682,0.695736961,5276.720,144.688019,1,A
30782,0.698004535,5278.462,216.492096,6,B
30882,0.700272109,5280.210,288.319916,2,A
30982,0.702539683,5281.962,360.171539,7,B
31082,0.704807256,5283.720,432.047028,3,A
31183,0.707097506,5285.500,504.665588,8,B
31283,0.709365079,5287.268,576.589294,4,A
31383,0.711632653,5289.040,648.537109,9,B
31483,0.713900227,5290.817,0.509022,0,A
31583,0.716167800,5292.600,72.505173,5,B
31683,0.718435374,5294.388,144.525620,1,A
31783,0.720702948,5296.180,216.570419,6,B
31883,0.722970522,5297.978,288.639618,2,A
31982,0.725215420,5299.762,360.012299,7,B
32082,0.727482993,5301.570,432.130310,3,A
32182,0.729750567,5303.382,504.272949,8,B
32282,0.732018141,5305.200,576.440308,4,A
32382,0.734285714,5307.022,648.632385,9,B
32481,0.736530612,5308.832,0.127054,0,A
32581,0.738798186,5310.664,72.368637,5,B
32681,0.741065760,5312.501,144.635193,1,A
32780,0.743310658,5314.325,216.203735,6,B
32880,0.745578231,5316.172,288.520172,2,A
32979,0.747823129,5318.006,360.138214,7,B
33079,0.750090703,5319.863,432.504791,3,A
33178,0.752335601,5321.707,504.172607,8,B
33278,0.754603175,5323.573,576.589600,4,A
33377,0.756848073,5325.426,648.307495,9,B
33476,0.759092971,5327.284,0.050351,0,A
33576,0.761360544,5329.166,72.543335,5,B
33675,0.763605442,5331.034,144.336639,1,A
33774,0.765850340,5332.906,216.155121,6,B
33874,0.768117914,5334.802,288.724701,2,A
33973,0.770362812,5336.685,360.594025,7,B
34072,0.772607710,5338.571,432.488708,3,A
34171,0.774852608,5340.463,504.408875,8,B
34270,0.777097506,5342.360,576.354553,4,A
34369,0.779342404,5344.261,648.325806,9,B
34468,0.781587302,5346.167,0.322673,0,A
34567,0.783832200,5348.079,72.345268,5,B
34666,0.786077098,5349.994,144.393631,1,A
34765,0.788321995,5351.915,216.467850,6,B
34864,0.790566893,5353.840,288.567963,2,A
34963,0.792811791,5355.770,360.694031,7,B
35061,0.795034014,5357.686,432.117188,3,A
35160,0.797278912,5359.625,504.295105,8,B
35259,0.799523810,5361.569,576.499207,4,A
35358,0.801768707,5363.519,648.729492,9,B
35456,0.803990930,5365.453,0.256122,0,A
35555,0.806235828,5367.411,72.538803,5,B
35653,0.808458050,5369.355,144.117371,1,A
35752,0.810702948,5371.323,216.452682,6,B
35850,0.812925170,5373.275,288.083466,2,A
35949,0.815170068,5375.253,360.471649,7,B
36047,0.817392290,5377.215,432.154907,3,A
36146,0.819637188,5379.202,504.596191,8,B
36244,0.821859410,5381.174,576.332153,4,A
36342,0.824081633,5383.150,648.094482,9,B
36441,0.826326531,5385.151,0.615792,0,A
36539,0.828548753,5387.136,72.431168,5,B
36637,0.830770975,5389.126,144.273041,1,A
36735,0.832993197,5391.121,216.141495,6,B
36833,0.835215420,5393.120,288.036560,2,A
36932,0.837460317,5395.144,360.692352,7,B
37030,0.839682540,5397.153,432.641113,3,A
37128,0.841904762,5399.166,504.616699,8,B
37226,0.844126984,5401.184,576.619202,4,A
37324,0.846349206,5403.206,648.648560,9,B
37422,0.848571429,5405.232,0.704953,0,A
37519,0.850770975,5407.243,72.052711,5,B
